BusinessEntityID,FirstName,LastName,ModifiedDate,BusinessEntityID_TXT,FechaTexto
1,Ken,Sánchez,2009-01-07 00:00:00,1,2009-01-07 00:00:00
2,Terri,Duffy,2008-01-24 00:00:00,2,2008-01-24 00:00:00
3,Roberto,Tamburello,2007-11-04 00:00:00,3,2007-11-04 00:00:00
4,Rob,Walters,2007-11-28 00:00:00,4,2007-11-28 00:00:00
5,Gail,Erickson,2007-12-30 00:00:00,5,2007-12-30 00:00:00
6,Jossef,Goldberg,2013-12-16 00:00:00,6,2013-12-16 00:00:00
7,Dylan,Miller,2009-02-01 00:00:00,7,2009-02-01 00:00:00
8,Diane,Margheim,2008-12-22 00:00:00,8,2008-12-22 00:00:00
9,Gigi,Matthew,2009-01-09 00:00:00,9,2009-01-09 00:00:00
10,Michael,Raheem,2009-04-26 00:00:00,10,2009-04-26 00:00:00
11,Ovidiu,Cracium,2010-11-28 00:00:00,11,2010-11-28 00:00:00
12,Thierry,D'Hers,2007-12-04 00:00:00,12,2007-12-04 00:00:00
13,Janice,Galvin,2010-12-16 00:00:00,13,2010-12-16 00:00:00
14,Michael,Sullivan,2010-12-23 00:00:00,14,2010-12-23 00:00:00
15,Sharon,Salavaria,2011-01-11 00:00:00,15,2011-01-11 00:00:00
16,David,Bradley,2007-12-13 00:00:00,16,2007-12-13 00:00:00
17,Kevin,Brown,2007-01-19 00:00:00,17,2007-01-19 00:00:00
18,John,Wood,2011-01-31 00:00:00,18,2011-01-31 00:00:00
19,Mary,Dempsey,2011-02-07 00:00:00,19,2011-02-07 00:00:00
20,Wanida,Benshoof,2010-12-31 00:00:00,20,2010-12-31 00:00:00
21,Terry,Eminhizer,2009-02-23 00:00:00,21,2009-02-23 00:00:00
22,Sariya,Harnpadoungsataya,2008-12-05 00:00:00,22,2008-12-05 00:00:00
23,Mary,Gibson,2009-01-05 00:00:00,23,2009-01-05 00:00:00
24,Jill,Williams,2009-01-11 00:00:00,24,2009-01-11 00:00:00
25,James,Hamilton,2009-01-27 00:00:00,25,2009-01-27 00:00:00
26,Peter,Krebs,2008-11-24 00:00:00,26,2008-11-24 00:00:00
27,Jo,Brown,2008-02-20 00:00:00,27,2008-02-20 00:00:00
28,Guy,Gilbert,2006-06-23 00:00:00,28,2006-06-23 00:00:00
